Pais,Mes,Casos Mensuales,Anio,MesNum,MesNombre
El Salvador,2020-01-01,0.0,2020,1,Enero
El Salvador,2020-02-01,0.0,2020,2,Febrero
El Salvador,2020-03-01,2.57040851,2020,3,Marzo
El Salvador,2020-04-01,45.83516177,2020,4,Abril
El Salvador,2020-05-01,290.8883599,2020,5,Mayo
El Salvador,2020-06-01,543.5162975,2020,6,Junio
El Salvador,2020-07-01,1510.058149,2020,7,Julio
El Salvador,2020-08-01,1628.979358,2020,8,Agosto
El Salvador,2020-09-01,514.01347,2020,9,Septiembre
El Salvador,2020-10-01,714.937527,2020,10,Octubre
El Salvador,2020-11-01,809.655944,2020,11,Noviembre
El Salvador,2020-12-01,1110.894183,2020,12,Diciembre
Guatemala,2020-01-01,0.0,2020,1,Enero
Guatemala,2020-02-01,0.0,2020,2,Febrero
Guatemala,2020-03-01,2.7134153845,2020,3,Marzo
Guatemala,2020-04-01,25.90551327,2020,4,Abril
Guatemala,2020-05-01,192.7085234,2020,5,Mayo
Guatemala,2020-06-01,645.216564,2020,6,Junio
Guatemala,2020-07-01,1703.824769,2020,7,Julio
Guatemala,2020-08-01,1444.7296119999999,2020,8,Agosto
Guatemala,2020-09-01,992.61378,2020,9,Septiembre
Guatemala,2020-10-01,920.920384,2020,10,Octubre
Guatemala,2020-11-01,826.935353,2020,11,Noviembre
Guatemala,2020-12-01,846.057327,2020,12,Diciembre
Honduras,2020-01-01,0.0,2020,1,Enero
Honduras,2020-02-01,0.0,2020,2,Febrero
Honduras,2020-03-01,6.8398907950000005,2020,3,Marzo
Honduras,2020-04-01,53.231008100000004,2020,4,Abril
Honduras,2020-05-01,370.8445059,2020,5,Mayo
Honduras,2020-06-01,1061.589293,2020,6,Junio
Honduras,2020-07-01,2252.672337,2020,7,Julio
Honduras,2020-08-01,1710.928406,2020,8,Agosto
Honduras,2020-09-01,1618.746889,2020,9,Septiembre
Honduras,2020-10-01,1918.855628,2020,10,Octubre
Honduras,2020-11-01,1165.703089,2020,11,Noviembre
Honduras,2020-12-01,1253.283713,2020,12,Diciembre
